"dyear","mtl","msl"
1979.708,2.34,2.39
1979.792,2.461,2.511
1979.875,2.341,2.391
1979.958,2.403,2.453
1980.042,2.359,2.409
1980.125,2.347,2.397
1980.208,2.33,2.38
1980.292,2.234,2.284
1980.375,2.315,2.365
1980.458,2.343,2.393
1980.542,2.306,2.356
1980.625,2.313,2.363
1980.708,2.338,2.388
1980.792,2.348,2.398
1980.875,2.365,2.415
1980.958,2.286,2.336
1981.042,2.139,2.189
1981.125,2.226,2.276
1981.208,2.336,2.386
1981.292,2.147,2.197
1981.375,2.359,2.409
1981.458,2.266,2.316
1981.542,2.24,2.29
1981.625,2.237,2.287
1981.708,2.405,2.455
1981.792,2.344,2.394
1981.875,2.317,2.367
1981.958,2.421,2.471
1982.042,2.367,2.417
1982.125,2.396,2.446
1982.208,2.264,2.314
1982.292,2.217,2.267
1982.375,2.263,2.313
1982.458,2.333,2.383
1982.542,2.279,2.329
1982.625,2.331,2.381
1982.708,2.467,2.517
1982.792,2.519,2.569
1982.875,2.519,2.569
1982.958,2.447,2.497
1983.042,2.41,2.46
1983.125,2.253,2.303
1983.208,2.293,2.343
1983.292,2.257,2.307
1983.375,2.447,2.497
1983.458,2.282,2.332
1983.542,2.136,2.186
1983.625,2.271,2.321
1983.708,2.376,2.426
1983.792,2.503,2.553
1983.875,2.441,2.491
1983.958,2.518,2.568
1984.042,2.365,2.415
1984.125,2.244,2.294
1984.208,2.253,2.303
1984.292,2.249,2.299
1984.375,2.274,2.324
1984.458,2.271,2.321
1984.542,2.303,2.353
1984.625,2.32,2.37
1984.708,2.354,2.404
1984.792,2.351,2.401
1984.875,2.595,2.645
1984.958,2.417,2.467
1985.042,2.39,2.44
1985.125,2.417,2.467
1985.208,2.347,2.397
1985.292,2.347,2.397
1985.375,2.306,2.356
1985.458,2.332,2.382
1985.542,2.375,2.425
1985.625,2.487,2.537
1985.708,2.41,2.46
1985.792,2.405,2.455
1985.875,2.416,2.466
1985.958,2.563,2.613
1986.042,2.42,2.47
1986.125,2.38,2.43
1986.208,2.39,2.44
1986.292,2.25,2.3
1986.375,2.41,2.46
1986.458,2.36,2.41
1986.542,2.42,2.47
1986.625,2.41,2.46
1986.708,2.34,2.39
1986.792,2.48,2.53
1986.875,2.51,2.56
1986.958,2.48,2.53
1987.042,2.36,2.41
1987.125,2.45,2.5
1987.208,2.36,2.41
1987.292,2.415,2.465
1987.375,2.265,2.315
1987.458,2.43,2.48
1987.542,2.365,2.415
1987.625,2.41,2.46
1987.708,2.515,2.565
1987.792,2.595,2.645
1987.875,2.46,2.51
1987.958,2.59,2.64
1988.042,2.605,2.655
1988.125,2.44,2.49
1988.208,2.38,2.43
1988.292,2.55,2.6
1988.375,2.42,2.47
1988.458,2.395,2.445
1988.542,2.51,2.56
1988.625,2.455,2.505
1988.708,2.44,2.49
1988.792,2.53,2.58
1988.875,2.535,2.585
1988.958,2.425,2.475
1989.042,2.425,2.475
1989.125,2.495,2.545
1989.208,2.435,2.485
1989.292,2.375,2.425
1989.375,2.365,2.415
1989.458,2.29,2.34
1989.542,NA,NA
1989.625,2.465,2.515
1989.708,2.38,2.43
1989.792,2.5,2.55
1989.875,2.425,2.475
1989.958,2.7,2.75
1990.042,2.585,2.635
1990.125,2.695,2.745
1990.208,2.36,2.41
1990.292,2.285,2.335
1990.375,2.355,2.405
1990.458,2.415,2.465
1990.542,2.39,2.44
1990.625,2.42,2.47
1990.708,2.39,2.44
1990.792,2.585,2.635
1990.875,NA,NA
1990.958,2.4,2.45
1991.042,2.44,2.49
1991.125,2.385,2.435
1991.208,2.41,2.46
1991.292,2.36,2.41
1991.375,2.225,2.275
1991.458,2.47,2.52
1991.542,2.4,2.45
1991.625,2.3,2.35
1991.708,2.37,2.42
1991.792,2.38,2.43
1991.875,2.42,2.47
1991.958,2.3,2.35
1992.042,2.27,2.32
1992.125,2.29,2.34
1992.208,2.235,2.285
1992.292,2.245,2.295
1992.375,2.255,2.305
1992.458,2.205,2.255
1992.542,2.405,2.455
1992.625,2.455,2.505
1992.708,2.255,2.305
1992.792,2.305,2.355
1992.875,2.345,2.395
1992.958,2.43,2.48
1993.042,2.511,2.561
1993.125,2.197,2.247
1993.208,2.294,2.344
1993.292,2.391,2.441
1993.375,2.393,2.443
1993.458,2.369,2.419
1993.542,2.359,2.409
1993.625,2.307,2.357
1993.708,2.484,2.534
1993.792,2.45,2.5
1993.875,2.426,2.476
1993.958,2.462,2.512
1994.042,2.424,2.474
1994.125,2.479,2.529
1994.208,2.369,2.419
1994.292,2.262,2.312
1994.375,2.417,2.467
1994.458,2.329,2.379
1994.542,2.36,2.41
1994.625,2.328,2.378
1994.708,2.3,2.35
1994.792,2.405,2.455
1994.875,2.458,2.508
1994.958,2.471,2.521
1995.042,2.42,2.47
1995.125,2.422,2.472
1995.208,NA,NA
1995.292,2.203,2.253
1995.375,2.274,2.324
1995.458,2.217,2.267
1995.542,2.265,2.315
1995.625,2.197,2.247
1995.708,2.338,2.388
1995.792,2.446,2.496
1995.875,2.439,2.489
1995.958,2.453,2.503
1996.042,2.623,2.673
1996.125,2.314,2.364
1996.208,2.348,2.398
1996.292,2.377,2.427
1996.375,2.421,2.471
1996.458,2.254,2.304
1996.542,2.2,2.25
1996.625,2.271,2.321
1996.708,2.354,2.404
1996.792,2.478,2.528
1996.875,2.404,2.454
1996.958,2.404,2.454
1997.042,2.45,2.5
1997.125,2.43,2.48
1997.208,2.385,2.435
1997.292,2.255,2.305
1997.375,2.255,2.305
1997.458,2.33,2.38
1997.542,2.235,2.285
1997.625,2.38,2.43
1997.708,2.37,2.42
1997.792,NA,NA
1997.875,2.465,2.515
1997.958,NA,NA
1998.042,NA,NA
1998.125,NA,NA
1998.208,2.168,2.218
1998.292,2.313,2.363
1998.375,2.173,2.223
1998.458,2.305,2.355
1998.542,NA,NA
1998.625,2.253,2.303
1998.708,2.33,2.38
1998.792,2.401,2.451
1998.875,2.313,2.363
1998.958,2.358,2.408
1999.042,2.415,2.465
1999.125,2.192,2.242
1999.208,NA,NA
1999.292,2.248,2.298
1999.375,2.244,2.294
1999.458,2.201,2.251
1999.542,2.34,2.39
1999.625,2.403,2.453
1999.708,2.519,2.569
1999.792,2.492,2.542
1999.875,2.362,2.412
1999.958,2.47,2.52
2000.042,2.3,2.35
2000.125,2.412,2.462
2000.208,2.249,2.299
2000.292,2.422,2.472
2000.375,2.362,2.412
2000.458,2.358,2.408
2000.542,2.303,2.353
2000.625,2.356,2.406
2000.708,2.458,2.508
2000.792,2.502,2.552
2000.875,2.575,2.625
2000.958,2.664,2.714
2001.042,2.538,2.588
2001.125,2.305,2.355
2001.208,2.482,2.532
2001.292,2.391,2.441
2001.375,2.289,2.339
2001.458,2.367,2.417
2001.542,2.36,2.41
2001.625,2.366,2.416
2001.708,2.433,2.483
2001.792,2.602,2.652
2001.875,2.332,2.382
2001.958,2.358,2.408
2002.042,2.606,2.656
2002.125,2.514,2.564
2002.208,2.396,2.446
2002.292,2.39,2.44
2002.375,NA,NA
2002.458,NA,NA
2002.542,2.373,2.423
2002.625,NA,NA
2002.708,2.422,2.472
